   i |     r |     q |    dt |   t_pr |   n |   m |   N |   t_no |   t_obs |     t_ko | 
  74 | 0.095 | 0.919 | 0.029 |  0.921 |   8 |   2 |   3 |  0.987 | 0.01401 |  1.00072 | 
  75 | 0.683 | 0.184 | 0.005 |  0.925 |   8 |   3 |   3 |  1.001 | 0.28253 |  1.28324 | 
  76 | 0.677 | 0.894 | 0.005 |  0.930 |   8 |   2 |   1 |  1.018 | 0.01864 |  1.03703 | 
  77 | 0.424 | 0.659 | 0.010 |  0.941 |   8 |   3 |   5 |  1.024 | 0.06945 |  1.09372 | 
  78 | 0.364 | 0.077 | 0.012 |  0.953 |   8 |   4 |   1 |  1.037 | 0.42746 |  1.46449 | 
  79 | 0.729 | 0.750 | 0.004 |  0.957 |   8 |   5 |  __ |     __ |      __ |       __ | 
  80 | 0.030 | 0.818 | 0.043 |  1.000 |   8 |   4 |   6 |  1.038 | 0.03357 |  1.07183 | 
  81 | 0.699 | 0.373 | 0.004 |  1.004 |   8 |   4 |   8 |  1.048 | 0.16421 |  1.21220 | 
  82 | 0.229 | 0.373 | 0.018 |  1.022 |   8 |   4 |   6 |  1.072 | 0.16451 |  1.23634 | 
  83 | 0.775 | 0.175 | 0.003 |  1.025 |   8 |   4 |   5 |  1.094 | 0.29036 |  1.38408 | 
  84 | 0.153 | 0.865 | 0.023 |  1.048 |   8 |   3 |   2 |  1.130 | 0.02411 |  1.15451 | 
  85 | 0.407 | 0.557 | 0.011 |  1.059 |   8 |   3 |   2 |  1.155 | 0.09768 |  1.25219 | 
  86 | 0.267 | 0.244 | 0.016 |  1.075 |   8 |   3 |   7 |  1.155 | 0.23477 |  1.39014 | 
  87 | 0.778 | 0.198 | 0.003 |  1.078 |   8 |   4 |   4 |  1.207 | 0.26963 |  1.47675 | 
  88 | 0.196 | 0.741 | 0.020 |  1.098 |   8 |   4 |   8 |  1.212 | 0.04997 |  1.26217 | 
  89 | 0.413 | 0.385 | 0.011 |  1.109 |   8 |   5 |  __ |     __ |      __ |       __ | 
  90 | 0.220 | 0.178 | 0.018 |  1.127 |   8 |   5 |  __ |     __ |      __ |       __ | 
  91 | 0.456 | 0.247 | 0.010 |  1.137 |   8 |   4 |   6 |  1.236 | 0.23274 |  1.46909 | 
  92 | 0.713 | 0.547 | 0.004 |  1.141 |   8 |   5 |  __ |     __ |      __ |       __ | 
  93 | 0.104 | 0.359 | 0.028 |  1.168 |   8 |   3 |   2 |  1.252 | 0.17080 |  1.42299 | 
  94 | 0.738 | 0.135 | 0.004 |  1.172 |   8 |   4 |   8 |  1.262 | 0.33430 |  1.59647 | 
  95 | 0.002 | 0.874 | 0.076 |  1.248 |   8 |   2 |   3 |  1.283 | 0.02249 |  1.30573 | 
  96 | 0.050 | 0.505 | 0.036 |  1.285 |   8 |   0 |   3 |  1.306 | 0.11399 |  1.41972 | 
  97 | 0.115 | 0.589 | 0.026 |  1.311 |   8 |   0 |   5 |  1.384 | 0.08831 |  1.47239 | 
