   i |     r |     q |    dt |   t_pr |   n |   m |   N |   t_no |   t_obs |     t_ko | 
 470 | 0.155 | 0.781 | 0.023 |  5.822 |   7 |   5 |  __ |     __ |      __ |       __ | 
 471 | 0.126 | 0.351 | 0.025 |  5.848 |   7 |   3 |   1 |  5.877 | 0.17447 |  6.05197 | 
 472 | 0.115 | 0.677 | 0.026 |  5.874 |   7 |   1 |   6 |  5.894 | 0.06508 |  5.95916 | 
 473 | 0.917 | 0.962 | 0.001 |  5.875 |   7 |   2 |   2 |  5.931 | 0.00643 |  5.93707 | 
 474 | 0.085 | 0.631 | 0.030 |  5.905 |   7 |   1 |   2 |  5.937 | 0.07678 |  6.01385 | 
 475 | 0.230 | 0.220 | 0.018 |  5.923 |   7 |   2 |   4 |  5.949 | 0.25216 |  6.20152 | 
 476 | 0.333 | 0.669 | 0.013 |  5.936 |   7 |   2 |   5 |  5.950 | 0.06695 |  6.01687 | 
 477 | 0.570 | 0.542 | 0.007 |  5.943 |   7 |   2 |   6 |  5.959 | 0.10211 |  6.06127 | 
 478 | 0.586 | 0.134 | 0.007 |  5.950 |   7 |   2 |   2 |  6.014 | 0.33460 |  6.34845 | 
 479 | 0.003 | 0.075 | 0.070 |  6.020 |   6 |   0 |   5 |  6.020 | 0.43188 |  6.45142 | 
 480 | 0.641 | 0.901 | 0.005 |  6.025 |   7 |   0 |   1 |  6.052 | 0.01742 |  6.06939 | 
 481 | 0.173 | 0.578 | 0.021 |  6.046 |   7 |   1 |   6 |  6.061 | 0.09151 |  6.15278 | 
 482 | 0.203 | 0.660 | 0.019 |  6.066 |   7 |   0 |   1 |  6.069 | 0.06915 |  6.13854 | 
 483 | 0.623 | 0.307 | 0.006 |  6.072 |   7 |   0 |   7 |  6.119 | 0.19669 |  6.31532 | 
 484 | 0.167 | 0.976 | 0.022 |  6.093 |   7 |   1 |   1 |  6.139 | 0.00411 |  6.14265 | 
 485 | 0.969 | 0.514 | 0.000 |  6.094 |   7 |   2 |   1 |  6.143 | 0.11086 |  6.25350 | 
 486 | 0.051 | 0.192 | 0.036 |  6.130 |   7 |   2 |   6 |  6.153 | 0.27473 |  6.42751 | 
 487 | 0.387 | 0.562 | 0.012 |  6.142 |   7 |   2 |   4 |  6.202 | 0.09597 |  6.29749 | 
 488 | 0.912 | 0.779 | 0.001 |  6.143 |   7 |   2 |   1 |  6.254 | 0.04164 |  6.29515 | 
 489 | 0.793 | 0.180 | 0.003 |  6.146 |   7 |   3 |   1 |  6.295 | 0.28566 |  6.58081 | 
 490 | 0.794 | 0.920 | 0.003 |  6.148 |   7 |   4 |   4 |  6.297 | 0.01386 |  6.31135 | 
 491 | 0.742 | 0.364 | 0.004 |  6.152 |   7 |   5 |  __ |     __ |      __ |       __ | 
 492 | 0.003 | 0.426 | 0.071 |  6.223 |   7 |   3 |   4 |  6.311 | 0.14231 |  6.45366 | 
 493 | 0.317 | 0.039 | 0.014 |  6.237 |   7 |   4 |   7 |  6.315 | 0.53874 |  6.85407 | 
 494 | 0.316 | 0.741 | 0.014 |  6.251 |   7 |   5 |  __ |     __ |      __ |       __ | 
 495 | 0.678 | 0.021 | 0.005 |  6.256 |   7 |   4 |   3 |  6.317 | 0.64414 |  6.96151 | 
 496 | 0.507 | 0.569 | 0.008 |  6.264 |   7 |   5 |  __ |     __ |      __ |       __ | 
 497 | 0.978 | 0.856 | 0.000 |  6.264 |   7 |   5 |  __ |     __ |      __ |       __ | 
 498 | 0.863 | 0.683 | 0.002 |  6.266 |   7 |   5 |  __ |     __ |      __ |       __ | 
 499 | 0.686 | 0.106 | 0.005 |  6.271 |   7 |   5 |  __ |     __ |      __ |       __ | 
 500 | 0.499 | 0.467 | 0.008 |  6.279 |   7 |   5 |  __ |     __ |      __ |       __ | 
 501 | 0.270 | 0.101 | 0.016 |  6.295 |   7 |   4 |   2 |  6.348 | 0.38263 |  6.73108 | 
 502 | 0.817 | 0.042 | 0.002 |  6.298 |   7 |   4 |   6 |  6.428 | 0.52971 |  6.95722 | 
 503 | 0.756 | 0.980 | 0.003 |  6.301 |   7 |   5 |  __ |     __ |      __ |       __ | 
 504 | 0.516 | 0.371 | 0.008 |  6.309 |   7 |   5 |  __ |     __ |      __ |       __ | 
 505 | 0.252 | 0.785 | 0.017 |  6.326 |   7 |   2 |   5 |  6.451 | 0.04035 |  6.49178 | 
 506 | 0.692 | 0.433 | 0.004 |  6.331 |   7 |   3 |   4 |  6.454 | 0.13940 |  6.59306 | 
 507 | 0.804 | 0.825 | 0.003 |  6.333 |   7 |   4 |   5 |  6.492 | 0.03202 |  6.52380 | 
 508 | 0.180 | 0.405 | 0.021 |  6.354 |   7 |   4 |   5 |  6.524 | 0.15082 |  6.67462 | 
 509 | 0.820 | 0.563 | 0.002 |  6.357 |   7 |   5 |  __ |     __ |      __ |       __ | 
 510 | 0.402 | 0.736 | 0.011 |  6.368 |   7 |   5 |  __ |     __ |      __ |       __ | 
 511 | 0.262 | 0.957 | 0.016 |  6.384 |   7 |   5 |  __ |     __ |      __ |       __ | 
 512 | 0.232 | 0.242 | 0.018 |  6.402 |   7 |   5 |  __ |     __ |      __ |       __ | 
 513 | 0.191 | 0.341 | 0.020 |  6.422 |   7 |   5 |  __ |     __ |      __ |       __ | 
 514 | 0.029 | 0.377 | 0.043 |  6.465 |   7 |   2 |   1 |  6.581 | 0.16275 |  6.74355 | 
 515 | 0.624 | 0.034 | 0.006 |  6.471 |   7 |   3 |   4 |  6.593 | 0.56403 |  7.15709 | 
 516 | 0.281 | 0.313 | 0.015 |  6.486 |   7 |   4 |   5 |  6.675 | 0.19345 |  6.86806 | 
 517 | 0.291 | 0.048 | 0.015 |  6.501 |   7 |   4 |   2 |  6.731 | 0.50544 |  7.23652 | 
 518 | 0.270 | 0.483 | 0.016 |  6.517 |   7 |   5 |  __ |     __ |      __ |       __ | 
 519 | 0.160 | 0.292 | 0.022 |  6.540 |   7 |   4 |   1 |  6.744 | 0.20532 |  6.94888 | 
 520 | 0.267 | 0.646 | 0.016 |  6.556 |   7 |   5 |  __ |     __ |      __ |       __ | 
 521 | 0.709 | 0.416 | 0.004 |  6.560 |   7 |   5 |  __ |     __ |      __ |       __ | 
 522 | 0.776 | 0.287 | 0.003 |  6.563 |   7 |   5 |  __ |     __ |      __ |       __ | 
 523 | 0.462 | 0.761 | 0.009 |  6.573 |   7 |   5 |  __ |     __ |      __ |       __ | 
 524 | 0.291 | 0.713 | 0.015 |  6.588 |   7 |   4 |   7 |  6.854 | 0.05645 |  6.91052 | 
 525 | 0.421 | 0.084 | 0.011 |  6.598 |   7 |   4 |   5 |  6.868 | 0.41279 |  7.28085 | 
 526 | 0.221 | 0.498 | 0.018 |  6.617 |   7 |   5 |  __ |     __ |      __ |       __ | 
 527 | 0.386 | 0.603 | 0.012 |  6.628 |   7 |   5 |  __ |     __ |      __ |       __ | 
 528 | 0.816 | 0.769 | 0.002 |  6.631 |   7 |   5 |  __ |     __ |      __ |       __ | 
 529 | 0.270 | 0.965 | 0.016 |  6.647 |   7 |   5 |  __ |     __ |      __ |       __ | 
 530 | 0.394 | 0.283 | 0.011 |  6.658 |   7 |   5 |  __ |     __ |      __ |       __ | 
 531 | 0.546 | 0.523 | 0.007 |  6.665 |   7 |   5 |  __ |     __ |      __ |       __ | 
 532 | 0.720 | 0.309 | 0.004 |  6.669 |   7 |   5 |  __ |     __ |      __ |       __ | 
 533 | 0.317 | 0.770 | 0.014 |  6.683 |   7 |   4 |   7 |  6.911 | 0.04347 |  6.95398 | 
 534 | 0.566 | 0.957 | 0.007 |  6.690 |   7 |   5 |  __ |     __ |      __ |       __ | 
 535 | 0.304 | 0.999 | 0.015 |  6.705 |   7 |   5 |  __ |     __ |      __ |       __ | 
 536 | 0.260 | 0.893 | 0.016 |  6.721 |   7 |   5 |  __ |     __ |      __ |       __ | 
 537 | 0.340 | 0.758 | 0.013 |  6.735 |   7 |   4 |   1 |  6.949 | 0.04623 |  6.99511 | 
 538 | 0.079 | 0.617 | 0.031 |  6.766 |   7 |   4 |   7 |  6.954 | 0.08055 |  7.03453 | 
 539 | 0.528 | 0.581 | 0.008 |  6.773 |   7 |   5 |  __ |     __ |      __ |       __ | 
 540 | 0.028 | 0.594 | 0.044 |  6.817 |   7 |   5 |  __ |     __ |      __ |       __ | 
 541 | 0.011 | 0.532 | 0.055 |  6.872 |   7 |   3 |   6 |  6.957 | 0.10514 |  7.06236 | 
 542 | 0.706 | 0.907 | 0.004 |  6.877 |   7 |   4 |   3 |  6.962 | 0.01619 |  6.97770 | 
 543 | 0.747 | 0.324 | 0.004 |  6.880 |   7 |   5 |  __ |     __ |      __ |       __ | 
 544 | 0.020 | 0.490 | 0.048 |  6.928 |   7 |   4 |   3 |  6.978 | 0.11878 |  7.09648 | 
 545 | 0.731 | 0.719 | 0.004 |  6.932 |   7 |   5 |  __ |     __ |      __ |       __ | 
 546 | 0.621 | 0.150 | 0.006 |  6.938 |   7 |   5 |  __ |     __ |      __ |       __ | 
 547 | 0.768 | 0.972 | 0.003 |  6.941 |   7 |   5 |  __ |     __ |      __ |       __ | 
 548 | 0.171 | 0.088 | 0.022 |  6.962 |   7 |   1 |   1 |  6.995 | 0.40545 |  7.40056 | 
 549 | 0.058 | 0.132 | 0.035 |  6.997 |   7 |   0 |   7 |  7.035 | 0.33781 |  7.37234 | 
 550 | 0.404 | 0.230 | 0.011 |  7.008 |   7 |   1 |   6 |  7.062 | 0.24520 |  7.30756 | 
 551 | 0.876 | 0.587 | 0.002 |  7.010 |   7 |   2 |   3 |  7.096 | 0.08882 |  7.18529 | 
 552 | 0.976 | 0.429 | 0.000 |  7.010 |   7 |   3 |   4 |  7.157 | 0.14112 |  7.29821 | 
 553 | 0.348 | 0.343 | 0.013 |  7.023 |   7 |   4 |   3 |  7.185 | 0.17834 |  7.36363 | 
 554 | 0.339 | 0.312 | 0.013 |  7.036 |   7 |   4 |   2 |  7.237 | 0.19436 |  7.43088 | 
 555 | 0.779 | 0.368 | 0.003 |  7.039 |   7 |   5 |  __ |     __ |      __ |       __ | 
 556 | 0.923 | 0.593 | 0.001 |  7.040 |   7 |   5 |  __ |     __ |      __ |       __ | 
 557 | 0.088 | 0.898 | 0.030 |  7.070 |   7 |   4 |   5 |  7.281 | 0.01791 |  7.29876 | 
 558 | 0.863 | 0.274 | 0.002 |  7.072 |   7 |   5 |  __ |     __ |      __ |       __ | 
 559 | 0.895 | 0.661 | 0.001 |  7.073 |   7 |   5 |  __ |     __ |      __ |       __ | 
 560 | 0.882 | 0.567 | 0.002 |  7.074 |   7 |   5 |  __ |     __ |      __ |       __ | 
 561 | 0.157 | 0.320 | 0.023 |  7.097 |   7 |   4 |   4 |  7.298 | 0.18985 |  7.48806 | 
 562 | 0.935 | 0.602 | 0.001 |  7.098 |   7 |   5 |  __ |     __ |      __ |       __ | 
 563 | 0.410 | 0.803 | 0.011 |  7.109 |   7 |   5 |  __ |     __ |      __ |       __ | 
 564 | 0.815 | 0.694 | 0.002 |  7.111 |   7 |   5 |  __ |     __ |      __ |       __ | 
 565 | 0.164 | 0.130 | 0.022 |  7.133 |   7 |   5 |  __ |     __ |      __ |       __ | 
 566 | 0.916 | 0.054 | 0.001 |  7.134 |   7 |   5 |  __ |     __ |      __ |       __ | 
 567 | 0.349 | 0.339 | 0.013 |  7.147 |   7 |   5 |  __ |     __ |      __ |       __ | 
 568 | 0.683 | 0.168 | 0.005 |  7.152 |   7 |   5 |  __ |     __ |      __ |       __ | 
 569 | 0.796 | 0.447 | 0.003 |  7.155 |   7 |   5 |  __ |     __ |      __ |       __ | 
 570 | 0.472 | 0.721 | 0.009 |  7.164 |   7 |   4 |   5 |  7.299 | 0.05449 |  7.35325 | 
 571 | 0.765 | 0.073 | 0.003 |  7.167 |   7 |   5 |  __ |     __ |      __ |       __ | 
 572 | 0.926 | 0.247 | 0.001 |  7.168 |   7 |   5 |  __ |     __ |      __ |       __ | 
 573 | 0.347 | 0.176 | 0.013 |  7.181 |   7 |   5 |  __ |     __ |      __ |       __ | 
 574 | 0.837 | 0.482 | 0.002 |  7.183 |   7 |   5 |  __ |     __ |      __ |       __ | 
 575 | 0.718 | 0.679 | 0.004 |  7.187 |   7 |   4 |   6 |  7.308 | 0.06445 |  7.37200 | 
 576 | 0.116 | 0.690 | 0.026 |  7.213 |   7 |   5 |  __ |     __ |      __ |       __ | 
 577 | 0.189 | 0.582 | 0.020 |  7.234 |   7 |   5 |  __ |     __ |      __ |       __ | 
 578 | 0.877 | 0.892 | 0.002 |  7.235 |   7 |   5 |  __ |     __ |      __ |       __ | 
 579 | 0.989 | 0.749 | 0.000 |  7.235 |   7 |   5 |  __ |     __ |      __ |       __ | 
 580 | 0.883 | 0.540 | 0.002 |  7.237 |   7 |   4 |   5 |  7.353 | 0.10256 |  7.45581 | 
 581 | 0.506 | 0.467 | 0.008 |  7.245 |   7 |   5 |  __ |     __ |      __ |       __ | 
 582 | 0.324 | 0.594 | 0.014 |  7.259 |   7 |   5 |  __ |     __ |      __ |       __ | 
 583 | 0.423 | 0.320 | 0.011 |  7.270 |   7 |   5 |  __ |     __ |      __ |       __ | 
 584 | 0.078 | 0.660 | 0.031 |  7.301 |   7 |   2 |   3 |  7.364 | 0.06934 |  7.43297 | 
 585 | 0.267 | 0.104 | 0.016 |  7.317 |   7 |   2 |   6 |  7.372 | 0.37678 |  7.74878 | 
 586 | 0.750 | 0.688 | 0.004 |  7.320 |   7 |   3 |   7 |  7.372 | 0.06236 |  7.43470 | 
 587 | 0.776 | 0.401 | 0.003 |  7.323 |   7 |   4 |   1 |  7.401 | 0.15241 |  7.55297 | 
 588 | 0.497 | 0.805 | 0.009 |  7.332 |   7 |   5 |  __ |     __ |      __ |       __ | 
 589 | 0.547 | 0.677 | 0.007 |  7.339 |   7 |   5 |  __ |     __ |      __ |       __ | 
 590 | 0.009 | 0.846 | 0.058 |  7.397 |   7 |   1 |   2 |  7.431 | 0.02792 |  7.45880 | 
 591 | 0.835 | 0.810 | 0.002 |  7.399 |   7 |   2 |   3 |  7.433 | 0.03510 |  7.46807 | 
 592 | 0.284 | 0.475 | 0.015 |  7.415 |   7 |   2 |   7 |  7.435 | 0.12415 |  7.55886 | 
 593 | 0.467 | 0.317 | 0.009 |  7.424 |   7 |   3 |   5 |  7.456 | 0.19141 |  7.64722 | 
 594 | 0.536 | 0.180 | 0.008 |  7.432 |   7 |   3 |   2 |  7.459 | 0.28560 |  7.74440 | 
 595 | 0.180 | 0.636 | 0.021 |  7.452 |   7 |   2 |   3 |  7.468 | 0.07534 |  7.54340 | 
 596 | 0.673 | 0.974 | 0.005 |  7.457 |   7 |   2 |   4 |  7.488 | 0.00438 |  7.49244 | 
 597 | 0.191 | 0.761 | 0.020 |  7.477 |   7 |   1 |   4 |  7.492 | 0.04562 |  7.53806 | 
 598 | 0.691 | 0.861 | 0.005 |  7.482 |   7 |   2 |   4 |  7.538 | 0.02494 |  7.56300 | 
 599 | 0.524 | 0.779 | 0.008 |  7.490 |   7 |   2 |   3 |  7.543 | 0.04172 |  7.58512 | 
 600 | 0.009 | 0.159 | 0.057 |  7.547 |   7 |   0 |   1 |  7.553 | 0.30683 |  7.85979 | 
 601 | 0.302 | 0.419 | 0.015 |  7.561 |   6 |   0 |   7 |  7.561 | 0.14503 |  7.70636 | 
 602 | 0.043 | 0.483 | 0.039 |  7.600 |   5 |   0 |   3 |  7.600 | 0.12143 |  7.72127 | 
 603 | 0.218 | 0.742 | 0.019 |  7.618 |   6 |   0 |   4 |  7.618 | 0.04978 |  7.66818 | 
 604 | 0.152 | 0.165 | 0.023 |  7.641 |   7 |   0 |   5 |  7.647 | 0.30072 |  7.94794 | 
 605 | 0.839 | 0.699 | 0.002 |  7.644 |   7 |   1 |   4 |  7.668 | 0.05974 |  7.72791 | 
 606 | 0.395 | 0.819 | 0.011 |  7.655 |   7 |   1 |   7 |  7.706 | 0.03329 |  7.73965 | 
 607 | 0.700 | 0.473 | 0.004 |  7.659 |   7 |   2 |   3 |  7.721 | 0.12484 |  7.84611 | 
 608 | 0.848 | 0.833 | 0.002 |  7.661 |   7 |   3 |   4 |  7.728 | 0.03038 |  7.75829 | 
 609 | 0.042 | 0.427 | 0.039 |  7.700 |   7 |   3 |   7 |  7.740 | 0.14172 |  7.88136 | 
 610 | 0.087 | 0.498 | 0.030 |  7.730 |   7 |   1 |   2 |  7.744 | 0.11606 |  7.86046 | 
 611 | 0.312 | 0.000 | 0.014 |  7.744 |   7 |   1 |   6 |  7.749 | 1.73286 |  9.48164 | 
 612 | 0.267 | 0.589 | 0.016 |  7.760 |   6 |   0 |   4 |  7.760 | 0.08835 |  7.84829 | 
 613 | 0.499 | 0.399 | 0.008 |  7.768 |   7 |   0 |   3 |  7.846 | 0.15309 |  7.99920 | 
 614 | 0.410 | 0.985 | 0.011 |  7.779 |   7 |   1 |   4 |  7.848 | 0.00258 |  7.85087 | 
 615 | 0.974 | 0.153 | 0.000 |  7.780 |   7 |   2 |   4 |  7.851 | 0.31330 |  8.16417 | 
 616 | 0.699 | 0.738 | 0.004 |  7.784 |   7 |   3 |   1 |  7.860 | 0.05055 |  7.91034 | 
 617 | 0.199 | 0.007 | 0.020 |  7.804 |   7 |   4 |   2 |  7.860 | 0.81735 |  8.67781 | 
 618 | 0.345 | 0.313 | 0.013 |  7.817 |   7 |   5 |  __ |     __ |      __ |       __ | 
 619 | 0.319 | 0.283 | 0.014 |  7.831 |   7 |   5 |  __ |     __ |      __ |       __ | 
 620 | 0.311 | 0.062 | 0.014 |  7.845 |   7 |   5 |  __ |     __ |      __ |       __ | 
 621 | 0.286 | 0.055 | 0.015 |  7.860 |   7 |   1 |   7 |  7.881 | 0.48204 |  8.36340 | 
 622 | 0.708 | 0.009 | 0.004 |  7.864 |   7 |   1 |   1 |  7.910 | 0.79196 |  8.70229 | 
 623 | 0.102 | 0.161 | 0.028 |  7.892 |   7 |   1 |   5 |  7.948 | 0.30485 |  8.25279 | 
 624 | 0.669 | 0.989 | 0.005 |  7.897 |   7 |   2 |   3 |  7.999 | 0.00191 |  8.00112 | 
 625 | 0.293 | 0.807 | 0.015 |  7.912 |   7 |   2 |   3 |  8.001 | 0.03578 |  8.03689 | 
 626 | 0.249 | 0.219 | 0.017 |  7.929 |   7 |   3 |   3 |  8.037 | 0.25328 |  8.29017 | 
 627 | 0.681 | 0.167 | 0.005 |  7.934 |   7 |   4 |   4 |  8.164 | 0.29820 |  8.46238 | 
 628 | 0.820 | 0.646 | 0.002 |  7.936 |   7 |   5 |  __ |     __ |      __ |       __ | 
 629 | 0.216 | 0.156 | 0.019 |  7.955 |   7 |   4 |   5 |  8.253 | 0.30967 |  8.56246 | 
 630 | 0.285 | 0.096 | 0.015 |  7.970 |   7 |   5 |  __ |     __ |      __ |       __ | 
 631 | 0.734 | 0.934 | 0.004 |  7.974 |   7 |   5 |  __ |     __ |      __ |       __ | 
 632 | 0.421 | 0.589 | 0.011 |  7.984 |   7 |   5 |  __ |     __ |      __ |       __ | 
 633 | 0.322 | 0.240 | 0.014 |  7.998 |   7 |   5 |  __ |     __ |      __ |       __ | 
 634 | 0.667 | 0.570 | 0.005 |  8.003 |   7 |   3 |   3 |  8.290 | 0.09367 |  8.38384 | 
 635 | 0.230 | 0.096 | 0.018 |  8.021 |   7 |   4 |   7 |  8.363 | 0.39018 |  8.75358 | 
 636 | 0.343 | 0.083 | 0.013 |  8.034 |   7 |   5 |  __ |     __ |      __ |       __ | 
 637 | 0.704 | 0.718 | 0.004 |  8.038 |   7 |   4 |   3 |  8.384 | 0.05524 |  8.43908 | 
 638 | 0.828 | 0.467 | 0.002 |  8.041 |   7 |   5 |  __ |     __ |      __ |       __ | 
 639 | 0.832 | 0.628 | 0.002 |  8.043 |   7 |   5 |  __ |     __ |      __ |       __ | 
 640 | 0.598 | 0.476 | 0.006 |  8.049 |   7 |   5 |  __ |     __ |      __ |       __ | 
 641 | 0.433 | 0.001 | 0.010 |  8.059 |   7 |   5 |  __ |     __ |      __ |       __ | 
 642 | 0.938 | 0.632 | 0.001 |  8.060 |   7 |   5 |  __ |     __ |      __ |       __ | 
 643 | 0.626 | 0.653 | 0.006 |  8.066 |   7 |   5 |  __ |     __ |      __ |       __ | 
 644 | 0.368 | 0.635 | 0.012 |  8.078 |   7 |   5 |  __ |     __ |      __ |       __ | 
 645 | 0.553 | 0.369 | 0.007 |  8.085 |   7 |   5 |  __ |     __ |      __ |       __ | 
 646 | 0.070 | 0.938 | 0.032 |  8.118 |   7 |   5 |  __ |     __ |      __ |       __ | 
 647 | 0.697 | 0.332 | 0.004 |  8.122 |   7 |   5 |  __ |     __ |      __ |       __ | 
 648 | 0.093 | 0.450 | 0.029 |  8.151 |   7 |   5 |  __ |     __ |      __ |       __ | 
 649 | 0.093 | 0.612 | 0.029 |  8.180 |   7 |   4 |   3 |  8.439 | 0.08189 |  8.52097 | 
 650 | 0.745 | 0.088 | 0.004 |  8.184 |   7 |   5 |  __ |     __ |      __ |       __ | 
 651 | 0.797 | 0.306 | 0.003 |  8.186 |   7 |   5 |  __ |     __ |      __ |       __ | 
 652 | 0.787 | 0.418 | 0.003 |  8.189 |   7 |   5 |  __ |     __ |      __ |       __ | 
 653 | 0.645 | 0.392 | 0.005 |  8.195 |   7 |   5 |  __ |     __ |      __ |       __ | 
 654 | 0.214 | 0.488 | 0.019 |  8.214 |   7 |   5 |  __ |     __ |      __ |       __ | 
 655 | 0.362 | 0.745 | 0.012 |  8.226 |   7 |   5 |  __ |     __ |      __ |       __ | 
 656 | 0.737 | 0.856 | 0.004 |  8.230 |   7 |   5 |  __ |     __ |      __ |       __ | 
 657 | 0.668 | 0.376 | 0.005 |  8.235 |   7 |   5 |  __ |     __ |      __ |       __ | 
 658 | 0.125 | 0.354 | 0.025 |  8.260 |   7 |   4 |   4 |  8.462 | 0.17320 |  8.63557 | 
 659 | 0.451 | 0.840 | 0.010 |  8.270 |   7 |   5 |  __ |     __ |      __ |       __ | 
 660 | 0.222 | 0.107 | 0.018 |  8.288 |   7 |   5 |  __ |     __ |      __ |       __ | 
 661 | 0.038 | 0.061 | 0.040 |  8.328 |   7 |   4 |   3 |  8.521 | 0.46530 |  8.98627 | 
 662 | 0.813 | 0.711 | 0.003 |  8.330 |   7 |   5 |  __ |     __ |      __ |       __ | 
 663 | 0.301 | 0.949 | 0.015 |  8.345 |   7 |   5 |  __ |     __ |      __ |       __ | 
 664 | 0.787 | 0.838 | 0.003 |  8.348 |   7 |   5 |  __ |     __ |      __ |       __ | 
 665 | 0.001 | 0.477 | 0.092 |  8.440 |   7 |   2 |   5 |  8.562 | 0.12345 |  8.68591 | 
 666 | 0.041 | 0.114 | 0.039 |  8.479 |   7 |   2 |   4 |  8.636 | 0.36159 |  8.99716 | 
 667 | 0.816 | 0.708 | 0.002 |  8.481 |   7 |   3 |   2 |  8.678 | 0.05757 |  8.73538 | 
 668 | 0.866 | 0.101 | 0.002 |  8.483 |   7 |   4 |   5 |  8.686 | 0.38203 |  9.06794 | 
 669 | 0.243 | 0.234 | 0.017 |  8.501 |   7 |   5 |  __ |     __ |      __ |       __ | 
 670 | 0.112 | 0.618 | 0.027 |  8.527 |   7 |   4 |   1 |  8.702 | 0.08012 |  8.78241 | 
 671 | 0.512 | 0.284 | 0.008 |  8.535 |   7 |   5 |  __ |     __ |      __ |       __ | 
 672 | 0.968 | 0.847 | 0.000 |  8.536 |   7 |   5 |  __ |     __ |      __ |       __ | 
 673 | 0.991 | 0.514 | 0.000 |  8.536 |   7 |   5 |  __ |     __ |      __ |       __ | 
 674 | 0.600 | 0.065 | 0.006 |  8.542 |   7 |   5 |  __ |     __ |      __ |       __ | 
 675 | 0.912 | 0.422 | 0.001 |  8.543 |   7 |   5 |  __ |     __ |      __ |       __ | 
 676 | 0.573 | 0.241 | 0.007 |  8.550 |   7 |   5 |  __ |     __ |      __ |       __ | 
 677 | 0.137 | 0.181 | 0.024 |  8.574 |   7 |   4 |   2 |  8.735 | 0.28493 |  9.02031 | 
 678 | 0.561 | 0.238 | 0.007 |  8.581 |   7 |   5 |  __ |     __ |      __ |       __ | 
 679 | 0.509 | 0.104 | 0.008 |  8.590 |   7 |   5 |  __ |     __ |      __ |       __ | 
 680 | 0.157 | 0.562 | 0.023 |  8.612 |   7 |   5 |  __ |     __ |      __ |       __ | 
 681 | 0.409 | 0.642 | 0.011 |  8.623 |   7 |   5 |  __ |     __ |      __ |       __ | 
 682 | 0.748 | 0.294 | 0.004 |  8.627 |   7 |   5 |  __ |     __ |      __ |       __ | 
 683 | 0.220 | 0.713 | 0.018 |  8.645 |   7 |   4 |   7 |  8.754 | 0.05636 |  8.80994 | 
 684 | 0.931 | 0.328 | 0.001 |  8.646 |   7 |   5 |  __ |     __ |      __ |       __ | 
 685 | 0.431 | 0.710 | 0.010 |  8.656 |   7 |   5 |  __ |     __ |      __ |       __ | 
 686 | 0.434 | 0.112 | 0.010 |  8.666 |   7 |   5 |  __ |     __ |      __ |       __ | 
 687 | 0.285 | 0.476 | 0.015 |  8.682 |   7 |   4 |   1 |  8.782 | 0.12377 |  8.90618 | 
 688 | 0.053 | 0.976 | 0.036 |  8.717 |   7 |   3 |   7 |  8.810 | 0.00404 |  8.81398 | 
 689 | 0.544 | 0.072 | 0.007 |  8.725 |   7 |   4 |   7 |  8.814 | 0.43740 |  9.25138 | 
 690 | 0.786 | 0.950 | 0.003 |  8.728 |   7 |   5 |  __ |     __ |      __ |       __ | 
 691 | 0.241 | 0.014 | 0.017 |  8.745 |   7 |   4 |   1 |  8.906 | 0.71063 |  9.61681 | 
 692 | 0.687 | 0.108 | 0.005 |  8.750 |   7 |   5 |  __ |     __ |      __ |       __ | 
 693 | 0.746 | 0.646 | 0.004 |  8.753 |   7 |   5 |  __ |     __ |      __ |       __ | 
 694 | 0.192 | 0.190 | 0.020 |  8.773 |   7 |   4 |   3 |  8.986 | 0.27675 |  9.26302 | 
 695 | 0.163 | 0.828 | 0.022 |  8.796 |   7 |   4 |   4 |  8.997 | 0.03137 |  9.02854 | 
 696 | 0.605 | 0.379 | 0.006 |  8.802 |   7 |   5 |  __ |     __ |      __ |       __ | 
 697 | 0.520 | 0.696 | 0.008 |  8.810 |   7 |   5 |  __ |     __ |      __ |       __ | 
 698 | 0.868 | 0.332 | 0.002 |  8.811 |   7 |   4 |   2 |  9.020 | 0.18367 |  9.20398 | 
 699 | 0.753 | 0.214 | 0.003 |  8.815 |   7 |   4 |   4 |  9.029 | 0.25680 |  9.28534 | 
 700 | 0.837 | 0.806 | 0.002 |  8.817 |   7 |   5 |  __ |     __ |      __ |       __ | 
 701 | 0.048 | 0.658 | 0.037 |  8.854 |   7 |   5 |  __ |     __ |      __ |       __ | 
 702 | 0.000 | 0.911 | 0.100 |  8.954 |   7 |   4 |   5 |  9.068 | 0.01551 |  9.08345 | 
 703 | 0.430 | 0.935 | 0.010 |  8.964 |   7 |   5 |  __ |     __ |      __ |       __ | 
 704 | 0.229 | 0.601 | 0.018 |  8.982 |   7 |   5 |  __ |     __ |      __ |       __ | 
 705 | 0.080 | 0.066 | 0.031 |  9.013 |   7 |   3 |   5 |  9.083 | 0.45407 |  9.53752 | 
 706 | 0.252 | 0.063 | 0.017 |  9.030 |   7 |   2 |   2 |  9.204 | 0.46185 |  9.66583 | 
 707 | 0.875 | 0.648 | 0.002 |  9.032 |   7 |   3 |   7 |  9.251 | 0.07241 |  9.32379 | 
 708 | 0.731 | 0.879 | 0.004 |  9.035 |   7 |   4 |   3 |  9.263 | 0.02144 |  9.28447 | 
 709 | 0.731 | 0.810 | 0.004 |  9.039 |   7 |   5 |  __ |     __ |      __ |       __ | 
