 i |     r |     q |    dt |  t_pr |   n |   m |   N |  t_no |   t_obs |    t_ko | 
478 | 0.715 | 0.653 | 0.004 | 5.887 |   7 |   5 |  __ |  __ |  __ |  __ | 
479 | 0.320 | 0.388 | 0.014 | 5.901 |   7 |   5 |  __ |  __ |  __ |  __ | 
480 | 0.846 | 0.883 | 0.002 | 5.903 |   7 |   5 |  __ |  __ |  __ |  __ | 
481 | 0.671 | 0.934 | 0.005 | 5.908 |   7 |   4 |   5 | 6.027 | 0.01134 | 6.03792 | 
482 | 0.455 | 0.395 | 0.010 | 5.917 |   7 |   3 |   2 | 6.027 | 0.15471 | 6.18184 | 
483 | 0.466 | 0.837 | 0.009 | 5.927 |   7 |   4 |   5 | 6.038 | 0.02970 | 6.06762 | 
484 | 0.981 | 0.759 | 0.000 | 5.927 |   7 |   5 |  __ |  __ |  __ |  __ | 
485 | 0.680 | 0.484 | 0.005 | 5.931 |   7 |   5 |  __ |  __ |  __ |  __ | 
486 | 0.619 | 0.259 | 0.006 | 5.937 |   7 |   5 |  __ |  __ |  __ |  __ | 
487 | 0.569 | 0.174 | 0.007 | 5.944 |   7 |   5 |  __ |  __ |  __ |  __ | 
488 | 0.650 | 0.309 | 0.005 | 5.949 |   7 |   5 |  __ |  __ |  __ |  __ | 
489 | 0.859 | 0.121 | 0.002 | 5.951 |   7 |   4 |   3 | 6.042 | 0.35266 | 6.39444 | 
490 | 0.954 | 0.125 | 0.001 | 5.952 |   7 |   5 |  __ |  __ |  __ |  __ | 
491 | 0.023 | 0.189 | 0.046 | 5.998 |   7 |   4 |   1 | 6.055 | 0.27756 | 6.33281 | 
492 | 0.145 | 0.190 | 0.024 | 6.021 |   7 |   5 |  __ |  __ |  __ |  __ | 
493 | 0.703 | 0.840 | 0.004 | 6.026 |   7 |   5 |  __ |  __ |  __ |  __ | 
494 | 0.288 | 0.665 | 0.015 | 6.041 |   7 |   2 |   5 | 6.068 | 0.06802 | 6.13563 | 
495 | 0.498 | 0.346 | 0.008 | 6.049 |   7 |   2 |   6 | 6.104 | 0.17707 | 6.28101 | 
496 | 0.992 | 0.794 | 0.000 | 6.049 |   7 |   3 |   5 | 6.136 | 0.03842 | 6.17405 | 
497 | 0.666 | 0.638 | 0.005 | 6.054 |   7 |   4 |   4 | 6.169 | 0.07492 | 6.24358 | 
498 | 0.871 | 0.955 | 0.002 | 6.056 |   7 |   4 |   5 | 6.174 | 0.00762 | 6.18167 | 
499 | 0.287 | 0.880 | 0.015 | 6.071 |   7 |   4 |   5 | 6.182 | 0.02137 | 6.20305 | 
500 | 0.647 | 0.212 | 0.005 | 6.077 |   7 |   5 |  __ |  __ |  __ |  __ | 
501 | 0.698 | 0.153 | 0.004 | 6.081 |   7 |   5 |  __ |  __ |  __ |  __ | 
502 | 0.198 | 0.104 | 0.020 | 6.101 |   7 |   5 |  __ |  __ |  __ |  __ | 
503 | 0.888 | 0.153 | 0.001 | 6.102 |   7 |   5 |  __ |  __ |  __ |  __ | 
504 | 0.438 | 0.439 | 0.010 | 6.112 |   7 |   4 |   2 | 6.182 | 0.13716 | 6.31899 | 
505 | 0.615 | 0.105 | 0.006 | 6.118 |   7 |   5 |  __ |  __ |  __ |  __ | 
506 | 0.905 | 0.022 | 0.001 | 6.119 |   7 |   5 |  __ |  __ |  __ |  __ | 
507 | 0.853 | 0.253 | 0.002 | 6.121 |   7 |   5 |  __ |  __ |  __ |  __ | 
508 | 0.764 | 0.925 | 0.003 | 6.125 |   7 |   5 |  __ |  __ |  __ |  __ | 
509 | 0.817 | 0.660 | 0.002 | 6.127 |   7 |   5 |  __ |  __ |  __ |  __ | 
510 | 0.360 | 0.962 | 0.012 | 6.140 |   7 |   4 |   5 | 6.203 | 0.00644 | 6.20949 | 
511 | 0.168 | 0.848 | 0.022 | 6.161 |   7 |   5 |  __ |  __ |  __ |  __ | 
512 | 0.461 | 0.604 | 0.009 | 6.171 |   7 |   4 |   5 | 6.209 | 0.08395 | 6.29343 | 
513 | 0.417 | 0.110 | 0.011 | 6.181 |   7 |   4 |   4 | 6.244 | 0.36804 | 6.61162 | 
514 | 0.825 | 0.692 | 0.002 | 6.184 |   7 |   3 |   6 | 6.281 | 0.06140 | 6.34241 | 
515 | 0.142 | 0.716 | 0.024 | 6.208 |   7 |   3 |   5 | 6.293 | 0.05569 | 6.34913 | 
516 | 0.113 | 0.110 | 0.027 | 6.234 |   7 |   3 |   7 | 6.301 | 0.36739 | 6.66869 | 
517 | 0.017 | 0.180 | 0.050 | 6.284 |   7 |   2 |   2 | 6.319 | 0.28583 | 6.60482 | 
518 | 0.300 | 0.385 | 0.015 | 6.299 |   7 |   2 |   1 | 6.333 | 0.15893 | 6.49174 | 
519 | 0.983 | 0.939 | 0.000 | 6.299 |   7 |   3 |   6 | 6.342 | 0.01045 | 6.35287 | 
520 | 0.912 | 0.988 | 0.001 | 6.300 |   7 |   4 |   5 | 6.349 | 0.00203 | 6.35116 | 
521 | 0.984 | 0.707 | 0.000 | 6.300 |   7 |   5 |  __ |  __ |  __ |  __ | 
522 | 0.993 | 0.895 | 0.000 | 6.300 |   7 |   5 |  __ |  __ |  __ |  __ | 
523 | 0.268 | 0.175 | 0.016 | 6.316 |   7 |   4 |   5 | 6.351 | 0.29036 | 6.64151 | 
524 | 0.771 | 0.146 | 0.003 | 6.319 |   7 |   4 |   6 | 6.353 | 0.32121 | 6.67408 | 
525 | 0.789 | 0.036 | 0.003 | 6.322 |   7 |   5 |  __ |  __ |  __ |  __ | 
526 | 0.303 | 0.840 | 0.015 | 6.337 |   7 |   4 |   3 | 6.394 | 0.02910 | 6.42354 | 
527 | 0.962 | 0.563 | 0.000 | 6.337 |   7 |   5 |  __ |  __ |  __ |  __ | 
528 | 0.363 | 0.438 | 0.012 | 6.350 |   7 |   3 |   3 | 6.424 | 0.13751 | 6.56105 | 
529 | 0.045 | 0.039 | 0.038 | 6.388 |   7 |   2 |   1 | 6.492 | 0.53900 | 7.03074 | 
530 | 0.719 | 0.210 | 0.004 | 6.392 |   7 |   3 |   3 | 6.561 | 0.25992 | 6.82096 | 
531 | 0.947 | 0.143 | 0.001 | 6.392 |   7 |   4 |   2 | 6.605 | 0.32453 | 6.92936 | 
532 | 0.218 | 0.991 | 0.019 | 6.411 |   7 |   4 |   4 | 6.612 | 0.00150 | 6.61312 | 
533 | 0.569 | 0.137 | 0.007 | 6.418 |   7 |   5 |  __ |  __ |  __ |  __ | 
534 | 0.445 | 0.670 | 0.010 | 6.428 |   7 |   4 |   4 | 6.613 | 0.06672 | 6.67984 | 
535 | 0.266 | 0.894 | 0.016 | 6.444 |   7 |   5 |  __ |  __ |  __ |  __ | 
536 | 0.618 | 0.127 | 0.006 | 6.450 |   7 |   5 |  __ |  __ |  __ |  __ | 
537 | 0.282 | 0.320 | 0.015 | 6.465 |   7 |   5 |  __ |  __ |  __ |  __ | 
538 | 0.675 | 0.719 | 0.005 | 6.470 |   7 |   5 |  __ |  __ |  __ |  __ | 
539 | 0.229 | 0.742 | 0.018 | 6.488 |   7 |   5 |  __ |  __ |  __ |  __ | 
540 | 0.850 | 0.982 | 0.002 | 6.490 |   7 |   5 |  __ |  __ |  __ |  __ | 
541 | 0.343 | 0.020 | 0.013 | 6.503 |   7 |   4 |   5 | 6.642 | 0.65414 | 7.29565 | 
542 | 0.049 | 0.438 | 0.037 | 6.540 |   7 |   5 |  __ |  __ |  __ |  __ | 
543 | 0.141 | 0.284 | 0.024 | 6.563 |   7 |   4 |   7 | 6.669 | 0.20963 | 6.87832 | 
544 | 0.849 | 0.728 | 0.002 | 6.565 |   7 |   5 |  __ |  __ |  __ |  __ | 
545 | 0.642 | 0.925 | 0.005 | 6.571 |   7 |   5 |  __ |  __ |  __ |  __ | 
546 | 0.083 | 0.020 | 0.030 | 6.601 |   7 |   5 |  __ |  __ |  __ |  __ | 
547 | 0.011 | 0.469 | 0.055 | 6.656 |   7 |   1 |   6 | 6.674 | 0.12618 | 6.80026 | 
548 | 0.779 | 0.257 | 0.003 | 6.659 |   7 |   2 |   4 | 6.680 | 0.22669 | 6.90653 | 
549 | 0.666 | 0.279 | 0.005 | 6.664 |   7 |   3 |   6 | 6.800 | 0.21270 | 7.01296 | 
550 | 0.215 | 0.770 | 0.019 | 6.683 |   7 |   1 |   3 | 6.821 | 0.04352 | 6.86448 | 
551 | 0.745 | 0.711 | 0.004 | 6.686 |   7 |   2 |   3 | 6.864 | 0.05674 | 6.92122 | 
552 | 0.086 | 0.304 | 0.030 | 6.716 |   7 |   3 |   7 | 6.878 | 0.19829 | 7.07661 | 
553 | 0.859 | 0.399 | 0.002 | 6.718 |   7 |   4 |   4 | 6.907 | 0.15302 | 7.05955 | 
554 | 0.040 | 0.720 | 0.039 | 6.757 |   7 |   5 |  __ |  __ |  __ |  __ | 
555 | 0.771 | 0.906 | 0.003 | 6.761 |   7 |   5 |  __ |  __ |  __ |  __ | 
556 | 0.700 | 0.351 | 0.004 | 6.765 |   7 |   5 |  __ |  __ |  __ |  __ | 
557 | 0.388 | 0.681 | 0.012 | 6.776 |   7 |   5 |  __ |  __ |  __ |  __ | 
558 | 0.533 | 0.465 | 0.008 | 6.784 |   7 |   5 |  __ |  __ |  __ |  __ | 
559 | 0.799 | 0.649 | 0.003 | 6.787 |   7 |   5 |  __ |  __ |  __ |  __ | 
560 | 0.596 | 0.894 | 0.006 | 6.793 |   7 |   5 |  __ |  __ |  __ |  __ | 
561 | 0.149 | 0.203 | 0.023 | 6.816 |   7 |   4 |   3 | 6.921 | 0.26563 | 7.18684 | 
562 | 0.623 | 0.500 | 0.006 | 6.822 |   7 |   4 |   2 | 6.929 | 0.11567 | 7.04503 | 
563 | 0.195 | 0.949 | 0.020 | 6.842 |   7 |   5 |  __ |  __ |  __ |  __ | 
564 | 0.909 | 0.296 | 0.001 | 6.843 |   7 |   5 |  __ |  __ |  __ |  __ | 
565 | 0.981 | 0.103 | 0.000 | 6.844 |   7 |   5 |  __ |  __ |  __ |  __ | 
566 | 0.004 | 0.816 | 0.067 | 6.910 |   7 |   2 |   6 | 7.013 | 0.03391 | 7.04687 | 
567 | 0.081 | 0.184 | 0.031 | 6.941 |   7 |   1 |   1 | 7.031 | 0.28181 | 7.31255 | 
568 | 0.908 | 0.974 | 0.001 | 6.942 |   7 |   2 |   2 | 7.045 | 0.00446 | 7.04949 | 
569 | 0.626 | 0.536 | 0.006 | 6.948 |   7 |   3 |   6 | 7.047 | 0.10379 | 7.15065 | 
570 | 0.048 | 0.555 | 0.037 | 6.985 |   7 |   4 |   2 | 7.049 | 0.09801 | 7.14750 | 
571 | 0.780 | 0.280 | 0.003 | 6.988 |   7 |   5 |  __ |  __ |  __ |  __ | 
572 | 0.030 | 0.710 | 0.043 | 7.031 |   7 |   4 |   4 | 7.060 | 0.05709 | 7.11664 | 
573 | 0.163 | 0.901 | 0.022 | 7.053 |   7 |   1 |   7 | 7.077 | 0.01738 | 7.09398 | 
574 | 0.046 | 0.756 | 0.037 | 7.090 |   7 |   0 |   7 | 7.094 | 0.04661 | 7.14060 | 
575 | 0.626 | 0.072 | 0.006 | 7.096 |   7 |   0 |   4 | 7.117 | 0.43754 | 7.55418 | 
576 | 0.436 | 0.620 | 0.010 | 7.106 |   7 |   1 |   7 | 7.141 | 0.07976 | 7.22035 | 
577 | 0.709 | 0.526 | 0.004 | 7.110 |   7 |   2 |   2 | 7.148 | 0.10693 | 7.25443 | 
578 | 0.251 | 0.788 | 0.017 | 7.127 |   7 |   2 |   6 | 7.151 | 0.03972 | 7.19037 | 
579 | 0.671 | 0.401 | 0.005 | 7.132 |   7 |   3 |   3 | 7.187 | 0.15218 | 7.33902 | 
580 | 0.639 | 0.062 | 0.005 | 7.137 |   7 |   4 |   6 | 7.190 | 0.46447 | 7.65484 | 
581 | 0.137 | 0.044 | 0.024 | 7.162 |   7 |   2 |   7 | 7.220 | 0.52231 | 7.74266 | 
582 | 0.383 | 0.513 | 0.012 | 7.173 |   7 |   3 |   2 | 7.254 | 0.11133 | 7.36576 | 
583 | 0.495 | 0.554 | 0.009 | 7.182 |   7 |   4 |   5 | 7.296 | 0.09849 | 7.39414 | 
584 | 0.866 | 0.197 | 0.002 | 7.184 |   7 |   5 |  __ |  __ |  __ |  __ | 
585 | 0.801 | 0.907 | 0.003 | 7.186 |   7 |   5 |  __ |  __ |  __ |  __ | 
586 | 0.459 | 0.332 | 0.009 | 7.196 |   7 |   3 |   1 | 7.313 | 0.18392 | 7.49647 | 
587 | 0.294 | 0.890 | 0.015 | 7.211 |   7 |   4 |   3 | 7.339 | 0.01934 | 7.35836 | 
588 | 0.438 | 0.567 | 0.010 | 7.221 |   7 |   4 |   3 | 7.358 | 0.09464 | 7.45300 | 
589 | 0.511 | 0.669 | 0.008 | 7.229 |   7 |   5 |  __ |  __ |  __ |  __ | 
590 | 0.278 | 0.034 | 0.016 | 7.245 |   7 |   5 |  __ |  __ |  __ |  __ | 
591 | 0.486 | 0.329 | 0.009 | 7.253 |   7 |   5 |  __ |  __ |  __ |  __ | 
592 | 0.629 | 0.971 | 0.006 | 7.259 |   7 |   4 |   2 | 7.366 | 0.00489 | 7.37065 | 
593 | 0.801 | 0.002 | 0.003 | 7.262 |   7 |   5 |  __ |  __ |  __ |  __ | 
594 | 0.462 | 0.876 | 0.009 | 7.271 |   7 |   5 |  __ |  __ |  __ |  __ | 
595 | 0.068 | 0.168 | 0.033 | 7.304 |   7 |   4 |   2 | 7.371 | 0.29681 | 7.66746 | 
596 | 0.906 | 0.933 | 0.001 | 7.305 |   7 |   5 |  __ |  __ |  __ |  __ | 
597 | 0.023 | 0.526 | 0.046 | 7.351 |   7 |   3 |   5 | 7.394 | 0.10704 | 7.50118 | 
598 | 0.329 | 0.967 | 0.014 | 7.365 |   7 |   3 |   3 | 7.453 | 0.00552 | 7.45852 | 
599 | 0.572 | 0.780 | 0.007 | 7.372 |   7 |   2 |   3 | 7.459 | 0.04133 | 7.49985 | 
600 | 0.072 | 0.589 | 0.032 | 7.404 |   7 |   2 |   1 | 7.496 | 0.08833 | 7.58480 | 
601 | 0.426 | 0.069 | 0.010 | 7.414 |   7 |   3 |   3 | 7.500 | 0.44501 | 7.94486 | 
602 | 0.157 | 0.603 | 0.023 | 7.437 |   7 |   4 |   5 | 7.501 | 0.08420 | 7.58538 | 
603 | 0.146 | 0.825 | 0.023 | 7.460 |   7 |   3 |   4 | 7.554 | 0.03210 | 7.58628 | 
604 | 0.469 | 0.385 | 0.009 | 7.470 |   7 |   4 |   1 | 7.585 | 0.15888 | 7.74368 | 
605 | 0.459 | 0.536 | 0.009 | 7.479 |   7 |   5 |  __ |  __ |  __ |  __ | 
606 | 0.206 | 0.593 | 0.019 | 7.498 |   7 |   4 |   5 | 7.585 | 0.08719 | 7.67257 | 
607 | 0.350 | 0.000 | 0.013 | 7.511 |   7 |   3 |   4 | 7.586 | 1.33321 | 8.91949 | 
608 | 0.852 | 0.192 | 0.002 | 7.513 |   7 |   4 |   6 | 7.655 | 0.27494 | 7.92979 | 
609 | 0.685 | 0.049 | 0.005 | 7.518 |   7 |   5 |  __ |  __ |  __ |  __ | 
610 | 0.737 | 0.805 | 0.004 | 7.522 |   7 |   5 |  __ |  __ |  __ |  __ | 
611 | 0.788 | 0.880 | 0.003 | 7.524 |   7 |   5 |  __ |  __ |  __ |  __ | 
612 | 0.314 | 0.611 | 0.014 | 7.539 |   7 |   5 |  __ |  __ |  __ |  __ | 
613 | 0.809 | 0.704 | 0.003 | 7.541 |   7 |   5 |  __ |  __ |  __ |  __ | 
614 | 0.403 | 0.389 | 0.011 | 7.552 |   7 |   5 |  __ |  __ |  __ |  __ | 
615 | 0.990 | 0.933 | 0.000 | 7.552 |   7 |   5 |  __ |  __ |  __ |  __ | 
616 | 0.249 | 0.298 | 0.017 | 7.569 |   7 |   4 |   2 | 7.667 | 0.20184 | 7.86930 | 
617 | 0.154 | 0.318 | 0.023 | 7.592 |   7 |   2 |   5 | 7.673 | 0.19116 | 7.86373 | 
618 | 0.418 | 0.100 | 0.011 | 7.603 |   7 |   3 |   7 | 7.743 | 0.38314 | 8.12580 | 
619 | 0.452 | 0.234 | 0.010 | 7.612 |   7 |   4 |   1 | 7.744 | 0.24182 | 7.98550 | 
620 | 0.015 | 0.388 | 0.051 | 7.664 |   7 |   4 |   5 | 7.864 | 0.15762 | 8.02135 | 
621 | 0.173 | 0.934 | 0.021 | 7.685 |   7 |   3 |   2 | 7.869 | 0.01133 | 7.88063 | 
622 | 0.009 | 0.373 | 0.058 | 7.743 |   7 |   3 |   2 | 7.881 | 0.16454 | 8.04517 | 
623 | 0.494 | 0.978 | 0.009 | 7.751 |   7 |   3 |   6 | 7.930 | 0.00378 | 7.93356 | 
624 | 0.517 | 0.795 | 0.008 | 7.759 |   7 |   4 |   6 | 7.934 | 0.03821 | 7.97178 | 
625 | 0.608 | 0.568 | 0.006 | 7.766 |   7 |   5 |  __ |  __ |  __ |  __ | 
626 | 0.635 | 0.385 | 0.006 | 7.771 |   7 |   5 |  __ |  __ |  __ |  __ | 
627 | 0.938 | 0.084 | 0.001 | 7.772 |   7 |   5 |  __ |  __ |  __ |  __ | 
628 | 0.346 | 0.334 | 0.013 | 7.785 |   7 |   5 |  __ |  __ |  __ |  __ | 
629 | 0.785 | 0.981 | 0.003 | 7.788 |   7 |   5 |  __ |  __ |  __ |  __ | 
630 | 0.363 | 0.550 | 0.012 | 7.800 |   7 |   5 |  __ |  __ |  __ |  __ | 
631 | 0.055 | 0.956 | 0.035 | 7.836 |   7 |   5 |  __ |  __ |  __ |  __ | 
632 | 0.174 | 0.461 | 0.021 | 7.857 |   7 |   5 |  __ |  __ |  __ |  __ | 
633 | 0.972 | 0.884 | 0.000 | 7.857 |   7 |   5 |  __ |  __ |  __ |  __ | 
634 | 0.126 | 0.355 | 0.025 | 7.883 |   7 |   2 |   3 | 7.945 | 0.17242 | 8.11729 | 
635 | 0.675 | 0.668 | 0.005 | 7.887 |   7 |   3 |   6 | 7.972 | 0.06735 | 8.03912 | 
636 | 0.783 | 0.345 | 0.003 | 7.890 |   7 |   4 |   1 | 7.985 | 0.17742 | 8.16292 | 
637 | 0.370 | 0.190 | 0.012 | 7.902 |   7 |   5 |  __ |  __ |  __ |  __ | 
638 | 0.987 | 0.377 | 0.000 | 7.903 |   7 |   5 |  __ |  __ |  __ |  __ | 
639 | 0.241 | 0.581 | 0.017 | 7.920 |   7 |   5 |  __ |  __ |  __ |  __ | 
640 | 0.042 | 0.031 | 0.039 | 7.959 |   7 |   2 |   5 | 8.021 | 0.57778 | 8.59913 | 
641 | 0.502 | 0.150 | 0.008 | 7.967 |   7 |   3 |   6 | 8.039 | 0.31592 | 8.35504 | 
642 | 0.053 | 0.442 | 0.036 | 8.003 |   7 |   2 |   2 | 8.045 | 0.13621 | 8.18139 | 
643 | 0.064 | 0.480 | 0.033 | 8.037 |   7 |   2 |   3 | 8.117 | 0.12245 | 8.23973 | 
644 | 0.576 | 0.899 | 0.007 | 8.043 |   7 |   2 |   7 | 8.126 | 0.01773 | 8.14353 | 
645 | 0.091 | 0.491 | 0.029 | 8.073 |   7 |   2 |   7 | 8.144 | 0.11869 | 8.26222 | 
646 | 0.846 | 0.785 | 0.002 | 8.075 |   7 |   3 |   1 | 8.163 | 0.04035 | 8.20327 | 
647 | 0.067 | 0.160 | 0.033 | 8.108 |   7 |   4 |   2 | 8.181 | 0.30523 | 8.48662 | 
648 | 0.232 | 0.831 | 0.018 | 8.125 |   7 |   4 |   1 | 8.203 | 0.03081 | 8.23408 | 
649 | 0.028 | 0.062 | 0.044 | 8.169 |   7 |   2 |   1 | 8.234 | 0.46348 | 8.69756 | 
650 | 0.274 | 0.363 | 0.016 | 8.185 |   7 |   2 |   3 | 8.240 | 0.16883 | 8.40856 | 
651 | 0.398 | 0.395 | 0.011 | 8.196 |   7 |   3 |   7 | 8.262 | 0.15479 | 8.41701 | 
652 | 0.402 | 0.703 | 0.011 | 8.207 |   7 |   3 |   6 | 8.355 | 0.05879 | 8.41383 | 
653 | 0.899 | 0.490 | 0.001 | 8.208 |   7 |   4 |   3 | 8.409 | 0.11878 | 8.52734 | 
654 | 0.270 | 0.696 | 0.016 | 8.224 |   7 |   5 |  __ |  __ |  __ |  __ | 
655 | 0.297 | 0.854 | 0.015 | 8.239 |   7 |   4 |   6 | 8.414 | 0.02639 | 8.44022 | 
656 | 0.096 | 0.340 | 0.029 | 8.268 |   7 |   3 |   7 | 8.417 | 0.17992 | 8.59692 | 
657 | 0.013 | 0.059 | 0.053 | 8.321 |   7 |   4 |   6 | 8.440 | 0.47311 | 8.91333 | 
658 | 0.899 | 0.418 | 0.001 | 8.322 |   7 |   5 |  __ |  __ |  __ |  __ | 
659 | 0.513 | 0.001 | 0.008 | 8.330 |   7 |   5 |  __ |  __ |  __ |  __ | 
660 | 0.031 | 0.543 | 0.043 | 8.373 |   7 |   4 |   2 | 8.487 | 0.10184 | 8.58846 | 
661 | 0.643 | 0.355 | 0.005 | 8.378 |   7 |   5 |  __ |  __ |  __ |  __ | 
662 | 0.907 | 0.010 | 0.001 | 8.379 |   7 |   5 |  __ |  __ |  __ |  __ | 
663 | 0.763 | 0.511 | 0.003 | 8.383 |   7 |   5 |  __ |  __ |  __ |  __ | 
664 | 0.857 | 0.922 | 0.002 | 8.384 |   7 |   5 |  __ |  __ |  __ |  __ | 
665 | 0.451 | 0.586 | 0.010 | 8.394 |   7 |   5 |  __ |  __ |  __ |  __ | 
666 | 0.958 | 0.982 | 0.001 | 8.395 |   7 |   5 |  __ |  __ |  __ |  __ | 
667 | 0.285 | 0.240 | 0.015 | 8.410 |   7 |   4 |   3 | 8.527 | 0.23813 | 8.76547 | 
668 | 0.085 | 0.514 | 0.030 | 8.440 |   7 |   3 |   2 | 8.588 | 0.11086 | 8.69932 | 
669 | 0.729 | 0.558 | 0.004 | 8.444 |   7 |   3 |   7 | 8.597 | 0.09710 | 8.69402 | 
670 | 0.051 | 0.524 | 0.036 | 8.480 |   7 |   4 |   5 | 8.599 | 0.10774 | 8.70687 | 
671 | 0.426 | 0.102 | 0.010 | 8.491 |   7 |   4 |   7 | 8.694 | 0.38023 | 9.07425 | 
672 | 0.870 | 0.028 | 0.002 | 8.492 |   7 |   5 |  __ |  __ |  __ |  __ | 
673 | 0.373 | 0.717 | 0.012 | 8.504 |   7 |   5 |  __ |  __ |  __ |  __ | 
674 | 0.554 | 0.726 | 0.007 | 8.512 |   7 |   5 |  __ |  __ |  __ |  __ | 
675 | 0.713 | 0.274 | 0.004 | 8.516 |   7 |   5 |  __ |  __ |  __ |  __ | 
676 | 0.591 | 0.938 | 0.006 | 8.522 |   7 |   5 |  __ |  __ |  __ |  __ | 
677 | 0.392 | 0.634 | 0.011 | 8.534 |   7 |   4 |   1 | 8.698 | 0.07595 | 8.77351 | 
678 | 0.943 | 0.626 | 0.001 | 8.534 |   7 |   5 |  __ |  __ |  __ |  __ | 
679 | 0.444 | 0.165 | 0.010 | 8.544 |   7 |   5 |  __ |  __ |  __ |  __ | 
680 | 0.189 | 0.596 | 0.020 | 8.564 |   7 |   5 |  __ |  __ |  __ |  __ | 
681 | 0.383 | 0.874 | 0.012 | 8.576 |   7 |   5 |  __ |  __ |  __ |  __ | 
682 | 0.205 | 0.992 | 0.019 | 8.595 |   7 |   4 |   2 | 8.699 | 0.00134 | 8.70065 | 
683 | 0.284 | 0.170 | 0.015 | 8.611 |   7 |   3 |   2 | 8.701 | 0.29489 | 8.99554 | 
684 | 0.969 | 0.604 | 0.000 | 8.611 |   7 |   4 |   5 | 8.707 | 0.08415 | 8.79102 | 
685 | 0.068 | 0.077 | 0.033 | 8.644 |   7 |   5 |  __ |  __ |  __ |  __ | 
686 | 0.555 | 0.348 | 0.007 | 8.651 |   7 |   5 |  __ |  __ |  __ |  __ | 
687 | 0.368 | 0.119 | 0.012 | 8.663 |   7 |   5 |  __ |  __ |  __ |  __ | 
688 | 0.362 | 0.367 | 0.012 | 8.676 |   7 |   5 |  __ |  __ |  __ |  __ | 
689 | 0.653 | 0.387 | 0.005 | 8.681 |   7 |   5 |  __ |  __ |  __ |  __ | 
690 | 0.371 | 0.983 | 0.012 | 8.693 |   7 |   5 |  __ |  __ |  __ |  __ | 
691 | 0.109 | 0.870 | 0.027 | 8.720 |   7 |   0 |   3 | 8.765 | 0.02315 | 8.78862 | 
692 | 0.085 | 0.804 | 0.030 | 8.750 |   7 |   1 |   1 | 8.774 | 0.03645 | 8.80995 | 
693 | 0.830 | 0.326 | 0.002 | 8.752 |   7 |   2 |   3 | 8.789 | 0.18701 | 8.97564 | 
694 | 0.231 | 0.713 | 0.018 | 8.770 |   7 |   2 |   5 | 8.791 | 0.05629 | 8.84731 | 
695 | 0.748 | 0.613 | 0.004 | 8.774 |   7 |   2 |   1 | 8.810 | 0.08161 | 8.89156 | 
696 | 0.671 | 0.072 | 0.005 | 8.779 |   7 |   3 |   5 | 8.847 | 0.43853 | 9.28584 | 
697 | 0.309 | 0.218 | 0.014 | 8.793 |   7 |   2 |   1 | 8.892 | 0.25374 | 9.14530 | 
698 | 0.913 | 0.172 | 0.001 | 8.794 |   7 |   3 |   6 | 8.913 | 0.29370 | 9.20703 | 
699 | 0.386 | 0.934 | 0.012 | 8.806 |   7 |   4 |   4 | 8.919 | 0.01133 | 8.93083 | 
700 | 0.056 | 0.736 | 0.035 | 8.841 |   7 |   4 |   4 | 8.931 | 0.05113 | 8.98195 | 
701 | 0.302 | 0.950 | 0.015 | 8.856 |   7 |   4 |   3 | 8.976 | 0.00862 | 8.98426 | 
702 | 0.350 | 0.970 | 0.013 | 8.868 |   7 |   5 |  __ |  __ |  __ |  __ | 
703 | 0.768 | 0.969 | 0.003 | 8.872 |   7 |   5 |  __ |  __ |  __ |  __ | 
704 | 0.386 | 0.463 | 0.012 | 8.883 |   7 |   5 |  __ |  __ |  __ |  __ | 
705 | 0.487 | 0.704 | 0.009 | 8.892 |   7 |   4 |   4 | 8.982 | 0.05855 | 9.04050 | 
706 | 0.300 | 0.753 | 0.015 | 8.907 |   7 |   5 |  __ |  __ |  __ |  __ | 
707 | 0.717 | 0.705 | 0.004 | 8.911 |   7 |   5 |  __ |  __ |  __ |  __ | 
708 | 0.564 | 0.134 | 0.007 | 8.918 |   7 |   4 |   3 | 8.984 | 0.33452 | 9.31878 | 
709 | 0.877 | 0.635 | 0.002 | 8.919 |   7 |   5 |  __ |  __ |  __ |  __ | 
710 | 0.920 | 0.163 | 0.001 | 8.920 |   7 |   4 |   2 | 8.996 | 0.30283 | 9.29838 | 
711 | 0.083 | 0.415 | 0.030 | 8.951 |   7 |   4 |   4 | 9.040 | 0.14674 | 9.18724 | 
712 | 0.980 | 0.992 | 0.000 | 8.951 |   7 |   5 |  __ |  __ |  __ |  __ | 
713 | 0.947 | 0.770 | 0.001 | 8.952 |   7 |   5 |  __ |  __ |  __ |  __ | 
714 | 0.662 | 0.784 | 0.005 | 8.957 |   7 |   5 |  __ |  __ |  __ |  __ | 
715 | 0.737 | 0.005 | 0.004 | 8.960 |   7 |   5 |  __ |  __ |  __ |  __ | 
716 | 0.088 | 0.644 | 0.030 | 8.990 |   7 |   2 |   7 | 9.074 | 0.07340 | 9.14764 | 
717 | 0.673 | 0.656 | 0.005 | 8.995 |   7 |   3 |   1 | 9.145 | 0.07036 | 9.21566 | 
718 | 0.522 | 0.758 | 0.008 | 9.003 |   7 |   3 |   7 | 9.148 | 0.04628 | 9.19392 | 
719 | 0.178 | 0.359 | 0.021 | 9.024 |   7 |   4 |   4 | 9.187 | 0.17089 | 9.35813 | 
720 | 0.569 | 0.638 | 0.007 | 9.031 |   7 |   5 |  __ |  __ |  __ |  __ | 
