 i |     r |     q |    dt |  t_pr |   n |   m |   N |  t_no |   t_obs |    t_ko | 
107 | 0.873 | 0.035 | 0.002 | 1.241 |   8 |   1 |   2 | 1.278 | 0.55900 | 1.83671 | 
108 | 0.390 | 0.608 | 0.011 | 1.253 |   8 |   1 |   3 | 1.279 | 0.08297 | 1.36235 | 
109 | 0.446 | 0.680 | 0.010 | 1.262 |   8 |   2 |   4 | 1.304 | 0.06437 | 1.36851 | 
110 | 0.104 | 0.349 | 0.028 | 1.290 |   8 |   1 |   6 | 1.336 | 0.17540 | 1.51161 | 
111 | 0.309 | 0.596 | 0.014 | 1.304 |   8 |   1 |   8 | 1.345 | 0.08634 | 1.43126 | 
112 | 0.522 | 0.125 | 0.008 | 1.312 |   8 |   2 |   3 | 1.362 | 0.34718 | 1.70953 | 
113 | 0.281 | 0.430 | 0.015 | 1.328 |   8 |   3 |   4 | 1.369 | 0.14051 | 1.50901 | 
114 | 0.589 | 0.098 | 0.006 | 1.334 |   8 |   4 |   5 | 1.375 | 0.38631 | 1.76169 | 
115 | 0.756 | 0.349 | 0.003 | 1.338 |   8 |   4 |   8 | 1.431 | 0.17543 | 1.60669 | 
116 | 0.517 | 0.076 | 0.008 | 1.346 |   8 |   4 |   1 | 1.432 | 0.42879 | 1.86076 | 
117 | 0.708 | 0.135 | 0.004 | 1.350 |   8 |   5 |  __ |  __ |  __ |  __ | 
118 | 0.866 | 0.556 | 0.002 | 1.352 |   8 |   5 |  __ |  __ |  __ |  __ | 
119 | 0.155 | 0.594 | 0.023 | 1.374 |   8 |   3 |   7 | 1.461 | 0.08682 | 1.54786 | 
120 | 0.428 | 0.105 | 0.010 | 1.385 |   8 |   3 |   4 | 1.509 | 0.37503 | 1.88404 | 
121 | 0.054 | 0.635 | 0.036 | 1.420 |   8 |   4 |   6 | 1.512 | 0.07564 | 1.58725 | 
122 | 0.615 | 0.672 | 0.006 | 1.426 |   8 |   5 |  __ |  __ |  __ |  __ | 
123 | 0.888 | 0.865 | 0.001 | 1.428 |   8 |   5 |  __ |  __ |  __ |  __ | 
124 | 0.658 | 0.306 | 0.005 | 1.433 |   8 |   3 |   7 | 1.548 | 0.19746 | 1.74532 | 
125 | 0.732 | 0.988 | 0.004 | 1.437 |   8 |   4 |   6 | 1.587 | 0.00201 | 1.58926 | 
126 | 0.314 | 0.013 | 0.014 | 1.451 |   8 |   5 |  __ |  __ |  __ |  __ | 
127 | 0.521 | 0.268 | 0.008 | 1.459 |   8 |   5 |  __ |  __ |  __ |  __ | 
128 | 0.719 | 0.759 | 0.004 | 1.463 |   8 |   4 |   6 | 1.589 | 0.04589 | 1.63515 | 
129 | 0.084 | 0.752 | 0.030 | 1.493 |   8 |   5 |  __ |  __ |  __ |  __ | 
130 | 0.067 | 0.426 | 0.033 | 1.526 |   8 |   3 |   8 | 1.607 | 0.14207 | 1.74876 | 
131 | 0.655 | 0.393 | 0.005 | 1.531 |   8 |   4 |   6 | 1.635 | 0.15566 | 1.79081 | 
132 | 0.133 | 0.499 | 0.025 | 1.556 |   8 |   4 |   3 | 1.710 | 0.11575 | 1.82528 | 
133 | 0.922 | 0.001 | 0.001 | 1.557 |   8 |   5 |  __ |  __ |  __ |  __ | 
134 | 0.020 | 0.332 | 0.047 | 1.604 |   8 |   3 |   7 | 1.745 | 0.18395 | 1.92927 | 
135 | 0.915 | 0.328 | 0.001 | 1.605 |   8 |   4 |   8 | 1.749 | 0.18555 | 1.93431 | 
136 | 0.609 | 0.915 | 0.006 | 1.611 |   8 |   4 |   5 | 1.762 | 0.01474 | 1.77644 | 
137 | 0.060 | 0.128 | 0.034 | 1.646 |   8 |   4 |   5 | 1.776 | 0.34299 | 2.11942 | 
138 | 0.657 | 0.756 | 0.005 | 1.651 |   8 |   5 |  __ |  __ |  __ |  __ | 
139 | 0.494 | 0.099 | 0.009 | 1.659 |   8 |   5 |  __ |  __ |  __ |  __ | 
140 | 0.428 | 0.230 | 0.010 | 1.670 |   8 |   5 |  __ |  __ |  __ |  __ | 
141 | 0.197 | 0.042 | 0.020 | 1.690 |   8 |   5 |  __ |  __ |  __ |  __ | 
142 | 0.246 | 0.000 | 0.017 | 1.707 |   8 |   5 |  __ |  __ |  __ |  __ | 
143 | 0.116 | 0.792 | 0.026 | 1.733 |   8 |   4 |   6 | 1.791 | 0.03880 | 1.82961 | 
144 | 0.599 | 0.455 | 0.006 | 1.739 |   8 |   5 |  __ |  __ |  __ |  __ | 
145 | 0.284 | 0.317 | 0.015 | 1.754 |   8 |   3 |   3 | 1.825 | 0.19132 | 2.01660 | 
146 | 0.826 | 0.401 | 0.002 | 1.757 |   8 |   4 |   6 | 1.830 | 0.15228 | 1.98190 | 
147 | 0.746 | 0.817 | 0.004 | 1.760 |   8 |   5 |  __ |  __ |  __ |  __ | 
148 | 0.731 | 0.391 | 0.004 | 1.764 |   8 |   4 |   2 | 1.837 | 0.15665 | 1.99335 | 
149 | 0.900 | 0.700 | 0.001 | 1.765 |   8 |   5 |  __ |  __ |  __ |  __ | 
150 | 0.554 | 0.625 | 0.007 | 1.773 |   8 |   5 |  __ |  __ |  __ |  __ | 
151 | 0.277 | 0.947 | 0.016 | 1.788 |   8 |   4 |   1 | 1.861 | 0.00905 | 1.86981 | 
152 | 0.514 | 0.817 | 0.008 | 1.796 |   8 |   4 |   1 | 1.870 | 0.03375 | 1.90355 | 
153 | 0.258 | 0.793 | 0.017 | 1.813 |   8 |   5 |  __ |  __ |  __ |  __ | 
154 | 0.815 | 0.701 | 0.002 | 1.815 |   8 |   5 |  __ |  __ |  __ |  __ | 
155 | 0.304 | 0.588 | 0.015 | 1.830 |   8 |   3 |   4 | 1.884 | 0.08840 | 1.97245 | 
156 | 0.817 | 0.955 | 0.002 | 1.832 |   8 |   4 |   1 | 1.904 | 0.00770 | 1.91126 | 
157 | 0.869 | 0.750 | 0.002 | 1.834 |   8 |   5 |  __ |  __ |  __ |  __ | 
158 | 0.582 | 0.064 | 0.007 | 1.841 |   8 |   4 |   1 | 1.911 | 0.45927 | 2.37053 | 
159 | 0.560 | 0.872 | 0.007 | 1.848 |   8 |   5 |  __ |  __ |  __ |  __ | 
160 | 0.380 | 0.544 | 0.012 | 1.860 |   8 |   5 |  __ |  __ |  __ |  __ | 
161 | 0.693 | 0.786 | 0.004 | 1.864 |   8 |   4 |   7 | 1.929 | 0.04018 | 1.96945 | 
162 | 0.916 | 0.841 | 0.001 | 1.865 |   8 |   5 |  __ |  __ |  __ |  __ | 
163 | 0.915 | 0.390 | 0.001 | 1.866 |   8 |   5 |  __ |  __ |  __ |  __ | 
164 | 0.922 | 0.077 | 0.001 | 1.867 |   8 |   5 |  __ |  __ |  __ |  __ | 
165 | 0.279 | 0.092 | 0.016 | 1.883 |   8 |   4 |   8 | 1.934 | 0.39819 | 2.33250 | 
166 | 0.177 | 0.145 | 0.021 | 1.904 |   8 |   3 |   7 | 1.969 | 0.32191 | 2.29137 | 
167 | 0.541 | 0.415 | 0.007 | 1.911 |   8 |   3 |   4 | 1.972 | 0.14669 | 2.11914 | 
168 | 0.192 | 0.084 | 0.020 | 1.932 |   8 |   3 |   6 | 1.982 | 0.41267 | 2.39456 | 
169 | 0.251 | 0.675 | 0.017 | 1.948 |   8 |   3 |   2 | 1.993 | 0.06551 | 2.05887 | 
170 | 0.278 | 0.893 | 0.016 | 1.964 |   8 |   4 |   3 | 2.017 | 0.01882 | 2.03542 | 
171 | 0.382 | 0.202 | 0.012 | 1.976 |   8 |   3 |   3 | 2.035 | 0.26663 | 2.30205 | 
172 | 0.222 | 0.740 | 0.018 | 1.994 |   8 |   2 |   2 | 2.059 | 0.05019 | 2.10906 | 
173 | 0.607 | 0.917 | 0.006 | 2.000 |   8 |   3 |   2 | 2.109 | 0.01453 | 2.12359 | 
